id,contract_name,counterparty,status,region,year,month,value_mtpa,value_mmbtu,value_cargoes,probability
121,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,1,0.0275,1430000.0,0.446875,
122,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,2,0.0275,1430000.0,0.446875,
123,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,3,0.0275,1430000.0,0.446875,
124,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,4,0.0275,1430000.0,0.446875,
125,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,5,0.0275,1430000.0,0.446875,
126,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,6,0.0275,1430000.0,0.446875,
127,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,7,0.0275,1430000.0,0.446875,
128,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,8,0.0275,1430000.0,0.446875,
129,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,9,0.0275,1430000.0,0.446875,
130,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,10,0.0275,1430000.0,0.446875,
131,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,11,0.0275,1430000.0,0.446875,
132,"RWE 2022-25 SPA",RWE,firm,Atlantic,2025,12,0.0275,1430000.0,0.446875,
133,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,1,0.00583333333333333,303333.333333333,0.0947916666666667,
134,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,2,0.00583333333333333,303333.333333333,0.0947916666666667,
135,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,3,0.00583333333333333,303333.333333333,0.0947916666666667,
136,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,4,0.00583333333333333,303333.333333333,0.0947916666666667,
137,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,5,0.00583333333333333,303333.333333333,0.0947916666666667,
138,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,6,0.00583333333333333,303333.333333333,0.0947916666666667,
139,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,7,0.00583333333333333,303333.333333333,0.0947916666666667,
140,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,8,0.00583333333333333,303333.333333333,0.0947916666666667,
141,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,9,0.00583333333333333,303333.333333333,0.0947916666666667,
142,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,10,0.00583333333333333,303333.333333333,0.0947916666666667,
143,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,11,0.00583333333333333,303333.333333333,0.0947916666666667,
144,"RWE 2022-25 SPA",RWE,firm,Atlantic,2026,12,0.00583333333333333,303333.333333333,0.0947916666666667,
145,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,1,0.0733333333333333,3813333.33333333,1.19166666666667,
146,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,2,0.0733333333333333,3813333.33333333,1.19166666666667,
147,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,3,0.0733333333333333,3813333.33333333,1.19166666666667,
148,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,4,0.0733333333333333,3813333.33333333,1.19166666666667,
149,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,5,0.0733333333333333,3813333.33333333,1.19166666666667,
150,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,6,0.0733333333333333,3813333.33333333,1.19166666666667,
151,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,7,0.0733333333333333,3813333.33333333,1.19166666666667,
152,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,8,0.0733333333333333,3813333.33333333,1.19166666666667,
153,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,9,0.0733333333333333,3813333.33333333,1.19166666666667,
154,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,10,0.0733333333333333,3813333.33333333,1.19166666666667,
155,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,11,0.0733333333333333,3813333.33333333,1.19166666666667,
156,"RWE Firm DES SPA",RWE,firm,Atlantic,2025,12,0.0733333333333333,3813333.33333333,1.19166666666667,
157,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,1,0.0825,4290000.0,1.340625,
158,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,2,0.0825,4290000.0,1.340625,
159,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,3,0.0825,4290000.0,1.340625,
160,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,4,0.0825,4290000.0,1.340625,
161,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,5,0.0825,4290000.0,1.340625,
162,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,6,0.0825,4290000.0,1.340625,
163,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,7,0.0825,4290000.0,1.340625,
164,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,8,0.0825,4290000.0,1.340625,
165,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,9,0.0825,4290000.0,1.340625,
166,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,10,0.0825,4290000.0,1.340625,
167,"RWE Firm DES SPA",RWE,firm,Atlantic,2026,11,0.0825,4290000.0,1.340625,
