id,source,source_type,region,scenario,year,month,value_mtpa,value_mmbtu,value_cargoes,equity_value_mtpa,equity_value_mmbtu,equity_value_cargoes
109,"Scarborough Train 1",production_asset,APAC,P50,2026,1,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
110,"Scarborough Train 1",production_asset,APAC,P50,2026,2,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
111,"Scarborough Train 1",production_asset,APAC,P50,2026,3,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
112,"Scarborough Train 1",production_asset,APAC,P50,2026,4,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
113,"Scarborough Train 1",production_asset,APAC,P50,2026,5,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
114,"Scarborough Train 1",production_asset,APAC,P50,2026,6,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
115,"Scarborough Train 1",production_asset,APAC,P50,2026,7,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
116,"Scarborough Train 1",production_asset,APAC,P50,2026,8,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
117,"Scarborough Train 1",production_asset,APAC,P50,2026,9,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
118,"Scarborough Train 1",production_asset,APAC,P50,2026,10,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
119,"Scarborough Train 1",production_asset,APAC,P50,2026,11,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
120,"Scarborough Train 1",production_asset,APAC,P50,2026,12,0.168333333333333,8753333.33333333,2.73541666666667,0.12625,6565000.0,2.0515625
121,"Scarborough Train 1",production_asset,APAC,P50,2027,1,0.418333333333333,21753333.3333333,6.79791666666667,0.31375,16315000.0,5.0984375
122,"Scarborough Train 1",production_asset,APAC,P50,2027,2,0.418333333333333,21753333.3333333,6.79791666666667,0.31375,16315000.0,5.0984375
123,"Scarborough Train 1",production_asset,APAC,P50,2027,3,0.418333333333333,21753333.3333333,6.79791666666667,0.31375,16315000.0,5.0984375
124,"Scarborough Train 1",production_asset,APAC,P50,2027,4,0.418333333333333,21753333.3333333,6.79791666666667,0.31375,16315000.0,5.0984375
